시도명,시군구명,관할구청,신호등 위치
경상남도,창원시,성산구,대방체육공원
경상남도,창원시,성산구,창원롯데백화점앞보행자
경상남도,창원시,성산구,문성고등학교앞보행자
경상남도,창원시,성산구,토월동성원아파트사거리
경상남도,창원시,성산구,신촌비엔지스틸앞
경상남도,창원시,성산구,한아름아파트
경상남도,창원시,성산구,남양삼거리
경상남도,창원시,성산구,가음정주공아파트
경상남도,창원시,성산구,상남동고인돌사거리
경상남도,창원시,성산구,남양초등학교앞보행자
경상남도,창원시,성산구,적현로제사부두정문사거리
경상남도,창원시,성산구,반지동유목교
경상남도,창원시,성산구,남양사거리
경상남도,창원시,성산구,남양동성원일차아파트
경상남도,창원시,성산구,웅남초등학교후문보행자
경상남도,창원시,성산구,대방동대동아파트
경상남도,창원시,성산구,토월성원아파트입구삼거리
경상남도,창원시,성산구,대방그린빌아파트
경상남도,창원시,성산구,삼정자이교사거리
경상남도,창원시,성산구,삼정자초등학교아래삼거리
경상남도,창원시,성산구,남양동우성아파트앞삼거리
경상남도,창원시,성산구,반송동청금길사거리
경상남도,창원시,성산구,안민동안민중학교
경상남도,창원시,성산구,성원삼차아파트뒷편사거리
경상남도,창원시,성산구,남양치안센터앞
경상남도,창원시,성산구,토월중학교
경상남도,창원시,성산구,삼정자삼십일호선
경상남도,창원시,성산구,반지동사거리
경상남도,창원시,성산구,풀만호텔앞보행자
경상남도,창원시,성산구,축구센터정문앞사거리
경상남도,창원시,성산구,상남동웅남초등학교정문
경상남도,창원시,성산구,사파동사파초등학교
경상남도,창원시,성산구,남산초등학교 후문
경상남도,창원시,성산구,대방동덕산이차타운
경상남도,창원시,성산구,반림동교통문화연수원
경상남도,창원시,성산구,불모산마을입구
경상남도,창원시,성산구,상남대동아파트동문입구
경상남도,창원시,성산구,상남동웅남초등학교
경상남도,창원시,성산구,포스코특수강1정문
경상남도,창원시,성산구,중앙동올림픽호텔앞
경상남도,창원시,성산구,안민로삼거리
경상남도,창원시,성산구,남양동피오르빌아파트정문
경상남도,창원시,성산구,사파동성아파트후문
경상남도,창원시,성산구,유목초등학교동측보행자
경상남도,창원시,성산구,삼정자초등학교
경상남도,창원시,성산구,삼정자1교
경상남도,창원시,성산구,남창원농협종합유통센터
경상남도,창원시,성산구,성주로지성큐엔텍
경상남도,창원시,성산구,안민동바람골입구
경상남도,창원시,성산구,사파무궁화아파트정문
경상남도,창원시,성산구,웅남동주민센타
경상남도,창원시,성산구,포스코특수강2정문
경상남도,창원시,성산구,가음동남산초등학교
경상남도,창원시,성산구,운동장동편삼거리
경상남도,창원시,성산구,센트럴파크1단지
경상남도,창원시,성산구,남지IC사거리
경상남도,창원시,성산구,상복공원입구삼거리
경상남도,창원시,성산구,상복IC사거리
경상남도,창원시,성산구,가음시장
경상남도,창원시,성산구,웅남동경남스틸
경상남도,창원시,성산구,웅남동쌍용시멘트
경상남도,창원시,성산구,국방과학연구원뒷편
경상남도,창원시,성산구,삼정1교남측
경상남도,창원시,성산구,유니온빌리지정문
경상남도,창원시,성산구,프리빌리지2차
경상남도,창원시,성산구,삼정자초등학교동편
경상남도,창원시,성산구,삼정자외리로삼거리
경상남도,창원시,성산구,남고정문
경상남도,창원시,성산구,외동초등학교
경상남도,창원시,성산구,전기연구원앞회차로
경상남도,창원시,성산구,SK테크노파크후문
경상남도,창원시,성산구,두산중공업정문
경상남도,창원시,성산구,두산기숙사
경상남도,창원시,성산구,볼보정문
경상남도,창원시,성산구,천광학교
경상남도,창원시,성산구,중량물전용로입구
경상남도,창원시,성산구,중량물전용로출구
경상남도,창원시,성산구,남정초등학교
경상남도,창원시,성산구,세원셀론텍
경상남도,창원시,성산구,창원스포츠파크단일로
경상남도,창원시,성산구,중앙로리베라컨벤션
경상남도,창원시,성산구,중앙로하나은행단일로
경상남도,창원시,성산구,토월초등삼거리
경상남도,창원시,성산구,검찰청/법원
경상남도,창원시,성산구,법원사거리
경상남도,창원시,성산구,창원사파고등학교
경상남도,창원시,성산구,사파중사거리
경상남도,창원시,성산구,남양동불곡사사거리
경상남도,창원시,성산구,대방사거리/대방초등정문
경상남도,창원시,성산구,대방동대방5호교앞보행자
경상남도,창원시,성산구,대방중학교
경상남도,창원시,성산구,대방황토방앞삼거리
경상남도,창원시,성산구,대방천교
경상남도,창원시,성산구,대방동음지사거리
경상남도,창원시,성산구,성주광장
경상남도,창원시,성산구,안민동안민터널입구
경상남도,창원시,성산구,성주동두산DST
경상남도,창원시,성산구,안민동한솔아파트입구
경상남도,창원시,성산구,성주동GM대우후문삼거리
경상남도,창원시,성산구,성주역사거리
경상남도,창원시,성산구,남지사거리
경상남도,창원시,성산구,야촌사거리
경상남도,창원시,성산구,공단야촌삼거리
경상남도,창원시,성산구,가음정사거리
경상남도,창원시,성산구,가음정소라아파트앞
경상남도,창원시,성산구,성산패총사거리
경상남도,창원시,성산구,남고삼거리
경상남도,창원시,성산구,창원남중학교
경상남도,창원시,성산구,재료연구소사거리
경상남도,창원시,성산구,공단본부사거리
경상남도,창원시,성산구,창원병원사거리
경상남도,창원시,성산구,외동택지사거리
경상남도,창원시,성산구,상남대호타워입구삼거리
경상남도,창원시,성산구,창원산업은행앞사거리
경상남도,창원시,성산구,트리비앙아파트입구
경상남도,창원시,성산구,신한생명
경상남도,창원시,마산합포구,우리은행
경상남도,창원시,마산합포구,숯골신호대
경상남도,창원시,마산합포구,운동장정문
경상남도,창원시,마산합포구,회산교
경상남도,창원시,마산합포구,구신태양극장
경상남도,창원시,마산합포구,로얄호텔
경상남도,창원시,마산합포구,평안안과
경상남도,창원시,마산합포구,부림사거리
경상남도,창원시,마산합포구,마산상남초등학교입구
경상남도,창원시,마산합포구,해안로삼거리
경상남도,창원시,마산합포구,3.15신호대
경상남도,창원시,마산합포구,만미당제과
경상남도,창원시,마산합포구,마산합포구청
경상남도,창원시,마산합포구,중부경찰서
경상남도,창원시,마산합포구,월남동경남은행
경상남도,창원시,마산합포구,신마산수협
경상남도,창원시,마산합포구,의신여중
경상남도,창원시,마산합포구,마산세관
경상남도,창원시,마산합포구,산호사거리
경상남도,창원시,마산합포구,한강주유소
경상남도,창원시,마산합포구,가야상가
경상남도,창원시,마산합포구,수출정문
경상남도,창원시,마산합포구,오동교
경상남도,창원시,마산합포구,오동오거리
경상남도,창원시,마산합포구,아구찜입구오거리
경상남도,창원시,마산합포구,삼공신호대
경상남도,창원시,마산합포구,무궁화아파트
경상남도,창원시,마산합포구,무학맨션
경상남도,창원시,마산합포구,수협공판장
경상남도,창원시,마산합포구,대우백화점입구
경상남도,창원시,마산합포구,신포동하이마트
경상남도,창원시,마산합포구,여객선터미널
경상남도,창원시,마산합포구,남부터미널
경상남도,창원시,마산합포구,월영동무학횟집보행자
경상남도,창원시,마산합포구,마산시립도서관 
경상남도,창원시,마산합포구,신성주유소
경상남도,창원시,마산합포구,월영광장
경상남도,창원시,마산합포구,교방동성로원
경상남도,창원시,마산합포구,서원곡
경상남도,창원시,마산합포구,자산약수터
경상남도,창원시,마산합포구,한우아파트
경상남도,창원시,마산합포구,전원파크
경상남도,창원시,마산합포구,완월화인아파트
경상남도,창원시,마산합포구,영광주유소
경상남도,창원시,마산합포구,월영한백아파트
경상남도,창원시,마산합포구,월영라이프아파트
경상남도,창원시,마산합포구,밤밭삼거리
경상남도,창원시,마산합포구,월영화인아파트
경상남도,창원시,마산합포구,중소기업은행
경상남도,창원시,마산합포구,월남성당
경상남도,창원시,마산합포구,보훈지청
경상남도,창원시,마산합포구,밤밭고개/임도입구
경상남도,창원시,마산합포구,해바라기아파트
경상남도,창원시,마산합포구,국제여객선터미널
경상남도,창원시,마산합포구,신마산병원
경상남도,창원시,마산합포구,월영초등학교
경상남도,창원시,마산합포구,삼원빌딩
경상남도,창원시,마산합포구,마산E마트
경상남도,창원시,마산합포구,월영택지사거리
경상남도,창원시,마산합포구,한철삼거리
경상남도,창원시,마산합포구,해운동세종유치원보행
경상남도,창원시,마산합포구,한일비치아파트
경상남도,창원시,마산합포구,심포교/대우메디칼
경상남도,창원시,마산합포구,마산운동장동문
경상남도,창원시,마산합포구,신포주공아파트
경상남도,창원시,마산합포구,마산문화센터
경상남도,창원시,마산합포구,석전동석전초교앞
경상남도,창원시,마산합포구,마산육호광장
경상남도,창원시,마산합포구,해운초등학교
경상남도,창원시,마산합포구,용마맨션
경상남도,창원시,마산합포구,구한철정문앞
경상남도,창원시,마산합포구,수협산호지점
경상남도,창원시,마산합포구,현동사거리
경상남도,창원시,마산합포구,현동공원묘원입구
경상남도,창원시,마산합포구,완월월성초등학교앞
경상남도,창원시,마산합포구,용마고등학교
경상남도,창원시,마산합포구,마산상남동합포교
경상남도,창원시,마산합포구,마산서중학교
경상남도,창원시,마산합포구,마산의료원
경상남도,창원시,마산합포구,마산경동메르빌
경상남도,창원시,마산합포구,학동사거리
경상남도,창원시,마산합포구,암하마을입구
경상남도,창원시,마산합포구,진목마을보행자
경상남도,창원시,마산합포구,마산국군통합병원
경상남도,창원시,마산합포구,오서사거리
경상남도,창원시,마산합포구,앞산휴게소
경상남도,창원시,마산합포구,교동마을입구
경상남도,창원시,마산합포구,진동삼거리
경상남도,창원시,마산합포구,진동지구대
경상남도,창원시,마산합포구,광암입구
경상남도,창원시,마산합포구,고현마을입구
경상남도,창원시,마산합포구,지산삼거리
경상남도,창원시,마산합포구,회동마을입구
경상남도,창원시,마산합포구,해운동스파랜드
경상남도,창원시,마산합포구,서성광장
경상남도,창원시,마산합포구,월영화인아파트후문
경상남도,창원시,마산합포구,예곡동예곡마을입구
경상남도,창원시,마산합포구,예곡동삼화충전소앞
경상남도,창원시,마산합포구,마산여성회관
경상남도,창원시,마산합포구,구마산소방서
경상남도,창원시,마산합포구,해안로해주빌딩
경상남도,창원시,마산합포구,진동유엔아이아파트
경상남도,창원시,마산합포구,반월동구마산극장
경상남도,창원시,마산합포구,합포중학교
경상남도,창원시,마산합포구,진전면율티고개삼거리
경상남도,창원시,마산합포구,월영우체국
경상남도,창원시,마산합포구,남성동지하차도
경상남도,창원시,마산합포구,경남데파트
경상남도,창원시,마산합포구,대한통운
경상남도,창원시,마산합포구,동아측기사
경상남도,창원시,마산합포구,마산상남우체국
경상남도,창원시,마산합포구,신포삼익아파트
경상남도,창원시,마산합포구,진북면부림자동차학원
경상남도,창원시,마산합포구,제일투자신탁
경상남도,창원시,마산합포구,축산농협신마산지점
경상남도,창원시,마산합포구,해운동두산2차아파트
경상남도,창원시,마산합포구,마산현동삼거리
경상남도,창원시,마산합포구,우산동산업단지정문
경상남도,창원시,마산합포구,진목진출입로
경상남도,창원시,마산합포구,교원동무학자이후문
경상남도,창원시,마산합포구,해운중학교
경상남도,창원시,마산합포구,월영치안센터
경상남도,창원시,마산합포구,동양교통입구
경상남도,창원시,마산합포구,용마초등학교
경상남도,창원시,마산합포구,마산음악관
경상남도,창원시,마산합포구,월포동소방정대
경상남도,창원시,마산합포구,진동삼거리보행자
경상남도,창원시,마산합포구,진동삼진고교후문
경상남도,창원시,마산합포구,진동한일유엔아이후문
경상남도,창원시,마산합포구,진동마산운전면허시험장
경상남도,창원시,마산합포구,교방동벽산블루빙2단지
