대한민국 경상남도 창원시 창원시 성산구 웅남동 공단로474번길 36,"['35.2006226', '128.6661396']",217
대한민국 경상남도 창원시 성산구 상남동 14-3 KR 번지 진성빌딩,"['35.2230448', '128.6843106']",242
대한민국 경상남도 창원시 성산구 상남동 12-7번지 KR 1층,"['35.2227038', '128.6856314']",6
대한민국 경상남도 창원시 성산구 성주동,"['35.1957125', '128.7082032']",143
대한민국 경상남도 창원시 성산구 가음정동,"['35.2087941', '128.6964817']",5
대한민국 경상남도 창원시 성산구 사파동 47-6,"['35.2277364', '128.7006753']",2
대한민국 성산구 대방동 355번지 창원시 경상남도 KR,"['35.2151382', '128.7085075']",16
대한민국 경상남도 창원시 성산구 가음동 7-3번지 KR 가음정빌딩 1층 107호,"['35.2102119', '128.687745']",47
대한민국 경상남도 창원시 성산구 가음동,"['35.208933', '128.6969539']",5
대한민국 경상남도 창원시 성산구 상남동 45-1,"['35.2164043', '128.6939817']",68
대한민국 반림동,"['35.236213', '128.674419']",63
대한민국 경상남도 창원시 성산구 상남동 4-1번지 대웅빌딩 5층 505호,"['35.2235101', '128.6857239']",23
대한민국 경상남도 창원시 의창구 차용동,"['35.2317348', '128.6363201']",126
대한민국 경상남도 창원시 성산구 웅남동 42,"['35.2142373', '128.6626514']",178
대한민국 경상남도 창원시 성산구 상남동 마디미로4번길 9 우진상가,"['35.2241147', '128.6846779']",53
대한민국 경상남도 창원시 성산구 가음정동 원이대로 810,"['35.2138254', '128.6953575']",33
대한민국 경상남도 창원시 성산구 KR 상남동 16번지 C동 208호 상남시장 창원시 경상남도 KR,"['35.2222099', '128.6834028']",9
대한민국 경남 창원시 성산구 가음정동 21-9,"['35.2136859', '128.692953']",2
대한민국 경상남도 창원시 성산구 상남동 원이대로 730,"['35.2201629', '128.69092']",148
대한민국 경상남도 창원시 성산구 가음정동 원이대로863번길 20,"['35.2085164', '128.6974261']",7
대한민국 경상남도 창원시 성산구 상남동 26-4,"['35.2212368', '128.6812328']",1
대한민국 부산광역시 중구 대창동1가 51,"['35.1070346', '129.0353695']",24
대한민국 성산구 상남동 22-8번지 모이세빌딩 101호 창원시 경상남도 KR,"['35.2203082', '128.6831902']",6
대한민국 경상남도 창원시 성산구 남산동 604-26,"['35.1944069', '128.694399']",145
대한민국 경상남도 창원시 성산구 가음정동,"['35.208072', '128.6969539']",1
대한민국 경상남도 창원시 성산구 상남동 마디미로10번길 12,"['35.2242149', '128.6844114']",152
대한민국 경상남도 창원시 성산구 중앙동 98-6,"['35.221677', '128.6760408']",14
대한민국 서울특별시 동작구 대방동 504,"['37.5141514', '126.9286703']",18
대한민국 경상남도 창원시 성산구 상남동 45-1,"['35.2189876', '128.6909737']",353
대한민국 경상남도 창원시 성산구 중앙동 86-5,"['35.2263473', '128.678844']",13
대한민국 경상남도 창원시 창원시 성산구 상남동 단정로 121,"['35.2142934', '128.6917876']",88
대한민국 경상남도 창원시 성산구 상남동 12-8번지,"['35.2228526', '128.6853174']",10
대한민국 경상남도 창원시 성산구 성산동 76-6,"['35.2105712', '128.6690398']",105
대한민국 경상남도 창원시 성산구 사파동,"['35.2225703', '128.6992866']",98
대한민국 성산구 상남동 11-1번지 창원시 경상남도 KR,"['35.2226161', '128.685055']",65
